Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

LD2        0603D-B                879mil       1960mil        879mil       1960mil        879mil   1926.535mil  T        270.00 Blue           
SB179      SB_0603               1647mil       -672mil       1647mil       -672mil    1613.25mil       -672mil  B        180.00 Closed         
D6         SOT23-6L               404mil      -1909mil        404mil      -1909mil    356.756mil  -1871.598mil  T          0.00 ESDA6V1BC6     
SB120      SB_0603            1612.75mil       1368mil    1612.75mil       1368mil    1612.75mil    1401.75mil  B         90.00 Closed         
SB119      SB_0603               1522mil    1366.25mil       1522mil    1366.25mil       1522mil     1332.5mil  B        270.00 Open           
SB184      SB_0603                579mil  -1752.937mil        579mil  -1752.937mil        579mil  -1786.687mil  B        270.00 Closed         
SB185      SB_0603                638mil      -1753mil        638mil      -1753mil        638mil   -1719.25mil  B         90.00 Closed         
SB186      SB_0603                236mil  -1752.937mil        236mil  -1752.937mil        236mil  -1719.187mil  B         90.00 Closed         
T2         SOT-23             619.005mil  -1749.001mil    619.005mil  -1749.001mil    580.423mil  -1788.371mil  T        360.00 9013           
SB113      SB_0603                 -1mil       1577mil         -1mil       1577mil      32.75mil       1577mil  B        360.00 Open           
SB114      SB_0603                 -1mil       1518mil         -1mil       1518mil      32.75mil       1518mil  B        360.00 Closed         
CN10       HDR_17x2_2R54_V_F       1850mil       -100mil       1800mil        700mil       1800mil        700mil  T        270.00 Header 17X2_Female
CN7        HDR_10x2_2R54_V_F       1850mil       1310mil       1800mil       1760mil       1800mil       1760mil  T        270.00 Header 10X2_Female
CN9        HDR_15x2_2R54_V_F         50mil       -200mil          0mil        500mil          0mil        500mil  T        270.00 Header 15X2_Female
CN8        HDR_8x2_2R54_V_F         50mil       1050mil          0mil       1400mil          0mil       1400mil  T        270.00 Header 8X2_Female
SB177      SB_0603                765mil       -642mil        765mil       -642mil     731.25mil       -642mil  B        180.00 Closed         
SB127      SB_0603                806mil       1164mil        806mil       1164mil        806mil    1197.75mil  B         90.00 Circuit Breaker
U11        Transformer           1197mil      -1298mil       1197mil      -1298mil       1372mil  -1120.441mil  T        180.00 KMS-1102NL     
SB136      SB_0603                402mil        486mil        402mil        486mil     368.25mil        486mil  B        180.00 Circuit Breaker
SB117      SB_0603                801mil       1351mil        801mil       1351mil     767.25mil       1351mil  B        180.00 Closed         
SB164      SB_0603               1121mil     35.806mil       1121mil     35.806mil       1121mil      2.056mil  B        270.00 Closed         
SB160      SB_0603               1062mil         36mil       1062mil         36mil       1062mil       2.25mil  B        270.00 Closed         
SB118      SB_0603               1318mil    1366.25mil       1318mil    1366.25mil       1318mil     1332.5mil  B        270.00 Closed         
SB14       SB_0603               1620mil       -300mil       1620mil       -300mil    1586.25mil       -300mil  T        180.00 Circuit Breaker
SB172      SB_0603               1681mil    -315.25mil       1681mil    -315.25mil       1681mil       -349mil  B        270.00 Circuit Breaker
SB4        SB_0603               1082mil    1366.25mil       1082mil    1366.25mil       1082mil     1332.5mil  T        270.00 Closed         
SB11       SB_0603                292mil   -299.972mil        292mil   -299.972mil     325.75mil   -299.972mil  T        360.00 Circuit Breaker
SB159      SB_0603               1681mil        135mil       1681mil        135mil       1681mil     101.25mil  B        270.00 Circuit Breaker
SB158      SB_0603               1622mil        135mil       1622mil        135mil       1622mil     101.25mil  B        270.00 Circuit Breaker
SB116      SB_0603                801mil       1410mil        801mil       1410mil     767.25mil       1410mil  B        180.00 Closed         
SB137      SB_0603               1172mil        473mil       1172mil        473mil    1138.25mil        473mil  B        180.00 Circuit Breaker
SB10       SB_0603               1620mil       -200mil       1620mil       -200mil    1586.25mil       -200mil  T        180.00 Circuit Breaker
SB168      SB_0603               1681mil     -197.5mil       1681mil     -197.5mil       1681mil    -231.25mil  B        270.00 Circuit Breaker
SB15       SB_0603               1620mil       -450mil       1620mil       -450mil    1586.25mil       -450mil  T        180.00 Circuit Breaker
SB175      SB_0603               1681mil       -433mil       1681mil       -433mil       1681mil    -466.75mil  B        270.00 Circuit Breaker
SB115      SB_0603                402mil       1362mil        402mil       1362mil     368.25mil       1362mil  B        180.00 Circuit Breaker
SB169      SB_0603                242mil       -300mil        242mil       -300mil     275.75mil       -300mil  B        360.00 Circuit Breaker
SB126      SB_0603                688mil       1164mil        688mil       1164mil        688mil    1197.75mil  B         90.00 Circuit Breaker
SB176      SB_0603                243mil       -600mil        243mil       -600mil     276.75mil       -600mil  B        360.00 Circuit Breaker
SB128      SB_0603                747mil       1164mil        747mil       1164mil        747mil    1197.75mil  B         90.00 Circuit Breaker
SB170      SB_0603                242mil       -400mil        242mil       -400mil     208.25mil       -400mil  B        180.00 Circuit Breaker
R48        0603R                  765mil       -666mil        765mil       -666mil    796.496mil       -666mil  T        180.00 33             
C7         0603C                 1240mil       2361mil       1240mil       2361mil   1271.496mil       2361mil  T        180.00 20pF[N/A]      
SB12       SB_0603               1440mil   -296.549mil       1440mil   -296.549mil       1440mil   -330.299mil  T        270.00 Closed         
SB173      SB_0603                242mil       -500mil        242mil       -500mil     275.75mil       -500mil  B        360.00 Closed         
SB7        SB_0603               1259mil    1366.25mil       1259mil    1366.25mil       1259mil       1400mil  T         90.00 Closed         
SB145      SB_0603                775mil     305.25mil        775mil     305.25mil        775mil      271.5mil  B        270.00 Open           
